 央,#genre#
1高清,http://183.222.206.14:8096/udp/239.93.0.184:5140
2高清,http://183.222.206.14:8096/udp/239.93.1.23:6000
3高清,http://183.222.206.14:8096/udp/239.93.1.11:2223
4高清,http://183.222.206.14:8096/udp/239.93.1.105:5140
5高清,http://183.222.206.14:8096/udp/239.93.1.12:2224
6高清,http://183.222.206.14:8096/udp/239.93.1.13:2226
7高清,http://183.222.206.14:8096/udp/239.93.1.67:5140
8高清,http://183.222.206.14:8096/udp/239.93.42.39:5140
9高清,http://183.222.206.14:8096/udp/239.93.1.24:5140
10高清,http://183.222.206.14:8096/udp/239.93.1.28:5140
11高清,http://183.222.206.14:8096/udp/239.93.0.102:5140
12高清,http://183.222.206.14:8096/udp/239.93.1.30:8124
13高清,http://183.222.206.14:8096/udp/239.93.0.66:5140
14高清,http://183.222.206.14:8096/udp/239.93.1.29:6000
15高清,http://183.222.206.14:8096/udp/239.93.0.103:5140
16高清,http://183.222.206.14:8096/udp/239.93.42.53:5140
17高清,http://183.222.206.14:8096/udp/239.93.0.92:5140
5＋高清,http://183.222.206.14:8096/udp/239.93.1.36:8004
四川,http://183.222.206.14:8096/udp/239.93.0.20:1235
湖南,http://183.222.206.14:8096/udp/239.93.0.88:5140
江苏,http://183.222.206.14:8096/udp/239.93.0.89:5140
浙江,http://183.222.206.14:8096/udp/239.93.0.124:5140
东方,http://183.222.206.14:8096/udp/239.93.0.123:5140
北京,http://183.222.206.14:8096/udp/239.93.0.180:5140
深圳,http://183.222.206.14:8096/udp/239.93.0.182:5140
广东,http://183.222.206.14:8096/udp/239.93.0.181:5140
天津,http://183.222.206.14:8096/udp/239.93.0.167:5140
山东,http://183.222.206.14:8096/udp/239.93.0.168:5140
江西,http://183.222.206.14:8096/udp/239.93.0.134:5140
东南 ,http://183.222.206.14:8096/udp/239.93.0.42:5140
黑龙江,http://183.222.206.14:8096/udp/239.93.0.183:5140
重庆,http://183.222.206.14:8096/udp/239.93.1.107:5140
贵州,http://183.222.206.14:8096/udp/239.93.0.131:5140
湖北,http://183.222.206.14:8096/udp/239.93.0.250:5140
安徽,http://183.222.206.14:8096/udp/239.93.1.106:5140
河北,http://183.222.206.14:8096/udp/239.93.0.132:5140
辽宁,http://183.222.206.14:8096/udp/239.93.1.108:5140
河南,http://183.222.206.14:8096/udp/239.93.42.45:5140
广西,http://183.222.206.14:8096/udp/239.93.42.46:5140
1高清,http://118.112.148.228:4022/udp/239.93.0.184:5140
2高清,http://118.112.148.228:4022/udp/239.93.1.23:6000
3高清,http://118.112.148.228:4022/udp/239.93.1.11:2223
4高清,http://118.112.148.228:4022/udp/239.93.1.105:5140
5高清,http://118.112.148.228:4022/udp/239.93.1.12:2224
6高清,http://118.112.148.228:4022/udp/239.93.1.13:2226
7高清,http://118.112.148.228:4022/udp/239.93.1.67:5140
8高清,http://118.112.148.228:4022/udp/239.93.42.39:5140
9高清,http://118.112.148.228:4022/udp/239.93.1.24:5140
10高清,http://118.112.148.228:4022/udp/239.93.1.28:5140
11高清,http://118.112.148.228:4022/udp/239.93.0.102:5140
12高清,http://118.112.148.228:4022/udp/239.93.1.30:8124
13高清,http://118.112.148.228:4022/udp/239.93.0.66:5140
14高清,http://118.112.148.228:4022/udp/239.93.1.29:6000
15高清,http://118.112.148.228:4022/udp/239.93.0.103:5140
16高清,http://118.112.148.228:4022/udp/239.93.42.53:5140
17高清,http://118.112.148.228:4022/udp/239.93.0.92:5140
5＋高清,http://118.112.148.228:4022/udp/239.93.1.36:8004
四川,http://118.112.148.228:4022/udp/239.93.0.20:1235
湖南,http://118.112.148.228:4022/udp/239.93.0.88:5140
江苏,http://118.112.148.228:4022/udp/239.93.0.89:5140
浙江,http://118.112.148.228:4022/udp/239.93.0.124:5140
东方,http://118.112.148.228:4022/udp/239.93.0.123:5140
北京,http://118.112.148.228:4022/udp/239.93.0.180:5140
深圳,http://118.112.148.228:4022/udp/239.93.0.182:5140
广东,http://118.112.148.228:4022/udp/239.93.0.181:5140
天津,http://118.112.148.228:4022/udp/239.93.0.167:5140
山东,http://118.112.148.228:4022/udp/239.93.0.168:5140
江西,http://118.112.148.228:4022/udp/239.93.0.134:5140
东南 ,http://118.112.148.228:4022/udp/239.93.0.42:5140
黑龙江,http://118.112.148.228:4022/udp/239.93.0.183:5140
重庆,http://118.112.148.228:4022/udp/239.93.1.107:5140
贵州,http://118.112.148.228:4022/udp/239.93.0.131:5140
湖北,http://118.112.148.228:4022/udp/239.93.0.250:5140
安徽,http://118.112.148.228:4022/udp/239.93.1.106:5140
河北,http://118.112.148.228:4022/udp/239.93.0.132:5140
辽宁,http://118.112.148.228:4022/udp/239.93.1.108:5140
河南,http://118.112.148.228:4022/udp/239.93.42.45:5140
广西,http://118.112.148.228:4022/udp/239.93.42.46:5140
1高清,http://221.237.15.105:4443/udp/239.93.0.184:5140
2高清,http://221.237.15.105:4443/udp/239.93.1.23:6000
3高清,http://221.237.15.105:4443/udp/239.93.1.11:2223
4高清,http://221.237.15.105:4443/udp/239.93.1.105:5140
5高清,http://221.237.15.105:4443/udp/239.93.1.12:2224
6高清,http://221.237.15.105:4443/udp/239.93.1.13:2226
7高清,http://221.237.15.105:4443/udp/239.93.1.67:5140
8高清,http://221.237.15.105:4443/udp/239.93.42.39:5140
9高清,http://221.237.15.105:4443/udp/239.93.1.24:5140
10高清,http://221.237.15.105:4443/udp/239.93.1.28:5140
11高清,http://221.237.15.105:4443/udp/239.93.0.102:5140
12高清,http://221.237.15.105:4443/udp/239.93.1.30:8124
13高清,http://221.237.15.105:4443/udp/239.93.0.66:5140
14高清,http://221.237.15.105:4443/udp/239.93.1.29:6000
15高清,http://221.237.15.105:4443/udp/239.93.0.103:5140
16高清,http://221.237.15.105:4443/udp/239.93.42.53:5140
17高清,http://221.237.15.105:4443/udp/239.93.0.92:5140
5＋高清,http://221.237.15.105:4443/udp/239.93.1.36:8004
四川,http://221.237.15.105:4443/udp/239.93.0.20:1235
湖南,http://221.237.15.105:4443/udp/239.93.0.88:5140
江苏,http://221.237.15.105:4443/udp/239.93.0.89:5140
浙江,http://221.237.15.105:4443/udp/239.93.0.124:5140
东方,http://221.237.15.105:4443/udp/239.93.0.123:5140
北京,http://221.237.15.105:4443/udp/239.93.0.180:5140
深圳,http://221.237.15.105:4443/udp/239.93.0.182:5140
广东,http://221.237.15.105:4443/udp/239.93.0.181:5140
天津,http://221.237.15.105:4443/udp/239.93.0.167:5140
山东,http://221.237.15.105:4443/udp/239.93.0.168:5140
江西,http://221.237.15.105:4443/udp/239.93.0.134:5140
东南 ,http://221.237.15.105:4443/udp/239.93.0.42:5140
黑龙江,http://221.237.15.105:4443/udp/239.93.0.183:5140
重庆,http://221.237.15.105:4443/udp/239.93.1.107:5140
贵州,http://221.237.15.105:4443/udp/239.93.0.131:5140
湖北,http://221.237.15.105:4443/udp/239.93.0.250:5140
安徽,http://221.237.15.105:4443/udp/239.93.1.106:5140
河北,http://221.237.15.105:4443/udp/239.93.0.132:5140
辽宁,http://221.237.15.105:4443/udp/239.93.1.108:5140
河南,http://221.237.15.105:4443/udp/239.93.42.45:5140
广西,http://221.237.15.105:4443/udp/239.93.42.46:5140
